Height,Air Temperature [K],w,U_m_s,V_m_s
0,272.15,0.3533422871,15,0
50,271.9165,0.3495214123,15,0
100,271.683,0.3457320511,15,0
150,271.4495,0.3419740438,15,0
200,271.216,0.3382472306,15,0
250,270.9825,0.334551452,15,0
300,270.749,0.3308865482,15,0
350,270.5155,0.3272523595,15,0
400,270.282,0.3236487263,15,0
450,270.0485,0.3200754888,15,0
500,269.815,0.3165324876,15,0
550,269.5815,0.3130195629,15,0
600,269.348,0.3095365553,15,0
650,269.1145,0.3060833053,15,0
700,268.881,0.3026596533,15,0
750,268.6475,0.2992654399,15,0
800,268.414,0.2959005059,15,0
850,268.1805,0.292564692,15,0
900,267.947,0.2892578388,15,0
950,267.7135,0.2859797874,15,0
1000,267.48,0.2827303786,15,0
1050,267.2465,0.2795094535,15,0
1100,267.013,0.2763168533,15,0
1150,266.7795,0.2731524191,15,0
1200,266.546,0.2700159924,15,0
1250,266.3125,0.2669074145,15,0
1300,266.079,0.2638265271,15,0
1350,265.8455,0.2607731718,15,0
1400,265.612,0.2577471904,15,0
1450,265.3785,0.254748425,15,0
1500,265.145,0.2517767176,15,0
1550,264.9115,0.2488319105,15,0
1600,264.678,0.2459138461,15,0
1650,264.4445,0.2430223668,15,0
1700,264.211,0.2401573155,15,0
1750,263.9775,0.237318535,15,0
1800,263.744,0.2345058684,15,0
1850,263.5105,0.2317191589,15,0
1900,263.277,0.2289582499,15,0
1950,263.0435,0.226222985,15,0
2000,262.81,0.2235132081,15,0
2050,262.5765,0.2208287632,15,0
2100,262.343,0.2181694944,15,0
2150,262.1095,0.2155352462,15,0
2200,261.876,0.2129258632,15,0
2250,261.6425,0.2103411903,15,0
2300,261.409,0.2077810727,15,0
2350,261.1755,0.2052453555,15,0
2400,260.942,0.2027338845,15,0
2450,260.7085,0.2002465053,15,0
2500,260.475,0.1977830642,15,0
2550,260.2415,0.1953434073,15,0
2600,260.008,0.1929273813,15,0
2650,259.7745,0.190534833,15,0
2700,259.541,0.1881656095,15,0
2750,259.3075,0.1858195583,15,0
2800,259.074,0.1834965269,15,0
2850,258.8405,0.1811963634,15,0
2900,258.607,0.178918916,15,0
2950,258.3735,0.1766640332,15,0
3000,258.14,0.174431564,15,0
3050,257.9065,0.1722213574,15,0
3100,257.673,0.170033263,15,0
3150,257.4395,0.1678671304,15,0
3200,257.206,0.1657228099,15,0
3250,256.9725,0.1636001519,15,0
3300,256.739,0.1614990071,15,0
3350,256.5055,0.1594192266,15,0
3400,256.272,0.1573606619,15,0
3450,256.0385,0.1553231648,15,0
3500,255.805,0.1533065875,15,0
3550,255.5715,0.1513107823,15,0
3600,255.338,0.1493356023,15,0
3650,255.1045,0.1473809006,15,0
3700,254.871,0.1454465308,15,0
3750,254.6375,0.143532347,15,0
3800,254.404,0.1416382034,15,0
3850,254.1705,0.1397639548,15,0
3900,253.937,0.1379094564,15,0
3950,253.7035,0.1360745636,15,0
4000,253.47,0.1342591325,15,0
4050,253.2365,0.1324630193,15,0
4100,253.003,0.1306860807,15,0
4150,252.7695,0.1289281739,15,0
4200,252.536,0.1271891566,15,0
4250,252.3025,0.1254688866,15,0
4300,252.069,0.1237672223,15,0
4350,251.8355,0.1220840227,15,0
4400,251.602,0.120419147,15,0
4450,251.3685,0.1187724548,15,0
4500,251.135,0.1171438065,15,0
4550,250.9015,0.1155330624,15,0
4600,250.668,0.1139400838,15,0
4650,250.4345,0.1123647321,15,0
4700,250.201,0.1108068693,15,0
4750,249.9675,0.1092663578,15,0
4800,249.734,0.1077430605,15,0
4850,249.5005,0.1062368408,15,0
4900,249.267,0.1047475625,15,0
4950,249.0335,0.1032750899,15,0
5000,248.8,0.1018192878,15,0
5050,248.5665,0.1003800215,15,0
5100,248.333,0.0989571568,15,0
5150,248.0995,0.09755055995,15,0
5200,247.866,0.09616009772,15,0
5250,247.6325,0.09478563737,15,0
5300,247.399,0.09342704667,15,0
5350,247.1655,0.0920841939,15,0
5400,246.932,0.09075694784,15,0
5450,246.6985,0.08944517779,15,0
5500,246.465,0.08814875358,15,0
5550,246.2315,0.08686754555,15,0
5600,245.998,0.08560142457,15,0
5650,245.7645,0.08435026202,15,0
5700,245.531,0.08311392984,15,0
5750,245.2975,0.08189230047,15,0
5800,245.064,0.08068524692,15,0
5850,244.8305,0.07949264273,15,0
5900,244.597,0.07831436197,15,0
5950,244.3635,0.07715027926,15,0
6000,244.13,0.07600026979,15,0
6050,243.8965,0.07486420929,15,0
6100,243.663,0.07374197402,15,0
6150,243.4295,0.07263344084,15,0
6200,243.196,0.07153848714,15,0
6250,242.9625,0.07045699089,15,0
6300,242.729,0.06938883062,15,0
6350,242.4955,0.06833388543,15,0
6400,242.262,0.06729203498,15,0
6450,242.0285,0.06626315951,15,0
6500,241.795,0.06524713986,15,0
6550,241.5615,0.06424385741,15,0
6600,241.328,0.06325319414,15,0
6650,241.0945,0.06227503262,15,0
6700,240.861,0.06130925598,15,0
6750,240.6275,0.06035574797,15,0
6800,240.394,0.05941439291,15,0
6850,240.1605,0.05848507572,15,0
6900,239.927,0.0575676819,15,0
6950,239.6935,0.05666209756,15,0
7000,239.46,0.05576820941,15,0
7050,239.2265,0.05488590474,15,0
7100,238.993,0.05401507147,15,0
7150,238.7595,0.05315559811,15,0
7200,238.526,0.05230737376,15,0
7250,238.2925,0.05147028815,15,0
7300,238.059,0.05064423161,15,0
7350,237.8255,0.04982909508,15,0
7400,237.592,0.04902477011,15,0
7450,237.3585,0.04823114887,15,0
7500,237.125,0.04744812414,15,0
7550,236.8915,0.04667558932,15,0
7600,236.658,0.04591343842,15,0
7650,236.4245,0.04516156608,15,0
7700,236.191,0.04441986754,15,0
7750,235.9575,0.0436882387,15,0
7800,235.724,0.04296657603,15,0
7850,235.4905,0.04225477667,15,0
7900,235.257,0.04155273836,15,0
7950,235.0235,0.04086035948,15,0
8000,234.79,0.04017753902,15,0
8050,234.5565,0.03950417661,15,0
8100,234.323,0.03884017251,15,0
8150,234.0895,0.0381854276,15,0
8200,233.856,0.0375398434,15,0
8250,233.6225,0.03690332205,15,0
8300,233.389,0.03627576633,15,0
8350,233.1555,0.03565707965,15,0
8400,232.922,0.03504716604,15,0
8450,232.6885,0.0344459302,15,0
8500,232.455,0.03385327741,15,0
8550,232.2215,0.03326911363,15,0
8600,231.988,0.03269334543,15,0
8650,231.7545,0.03212588003,15,0
8700,231.521,0.03156662526,15,0
8750,231.2875,0.03101548962,15,0
8800,231.054,0.0304723822,15,0
8850,230.8205,0.02993721278,15,0
8900,230.587,0.02940989173,15,0
8950,230.3535,0.02889033008,15,0
9000,230.12,0.02837843947,15,0
9050,229.8865,0.02787413221,15,0
9100,229.653,0.02737732123,15,0
9150,229.4195,0.02688792008,15,0
9200,229.186,0.02640584295,15,0
9250,228.9525,0.02593100469,15,0
9300,228.719,0.02546332076,15,0
9350,228.4855,0.02500270725,15,0
9400,228.252,0.02454908089,15,0
9450,228.0185,0.02410235905,15,0
9500,227.785,0.02366245973,15,0
9550,227.5515,0.02322930155,15,0
